Experiment Log Started

========================================
Running Architecture: ConvNeXt + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 4/25 | Train Loss: 0.0053 | Train Acc: 100.00%
    Epoch 1/25 | Train Loss: 0.5703 | Train Acc: 75.31%
    Epoch 2/25 | Train Loss: 0.2373 | Train Acc: 96.30%
    Epoch 3/25 | Train Loss: 0.1155 | Train Acc: 98.77%
    Epoch 4/25 | Train Loss: 0.0565 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.0724 | Train Acc: 97.53%
    Epoch 6/25 | Train Loss: 0.0213 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.0207 | Train Acc: 99.54%
    Epoch 7/25 | Train Loss: 0.0076 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0088 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0043 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0028 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0027 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0019 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.0018 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0017 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0017 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0017 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0020 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0009 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0009 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0013 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0006 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0044 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0014 | Train Acc: 100.00%
  > Split: 10% | Seed: 10 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.5219 | Train Acc: 67.90%
    Epoch 2/25 | Train Loss: 0.3049 | Train Acc: 87.65%
    Epoch 3/25 | Train Loss: 0.2399 | Train Acc: 92.59%
    Epoch 4/25 | Train Loss: 0.1046 | Train Acc: 97.53%
    Epoch 9/25 | Train Loss: 0.0230 | Train Acc: 99.23%
    Epoch 5/25 | Train Loss: 0.0696 | Train Acc: 97.53%
    Epoch 6/25 | Train Loss: 0.0229 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0123 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0102 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0047 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0037 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0023 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0029 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0026 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0024 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0027 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0012 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0010 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0012 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0013 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0010 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0008 | Train Acc: 100.00%
