Experiment Log Started

========================================
Running Architecture: ResNet50 + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6133 | Train Acc: 71.60%
    Epoch 2/25 | Train Loss: 0.4517 | Train Acc: 92.59%
    Epoch 3/25 | Train Loss: 0.3750 | Train Acc: 97.53%
    Epoch 4/25 | Train Loss: 0.2158 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.2051 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.1362 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0939 | Train Acc: 98.77%
    Epoch 8/25 | Train Loss: 0.1022 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0728 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0663 | Train Acc: 98.77%
    Epoch 11/25 | Train Loss: 0.0500 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0328 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0394 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0438 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0252 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0312 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0337 | Train Acc: 98.77%
    Epoch 18/25 | Train Loss: 0.0247 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0181 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0225 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0204 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0215 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0169 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0185 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0224 | Train Acc: 100.00%
  > Split: 10% | Seed: 10 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6264 | Train Acc: 70.37%
    Epoch 2/25 | Train Loss: 0.4611 | Train Acc: 92.59%
    Epoch 3/25 | Train Loss: 0.4116 | Train Acc: 87.65%
    Epoch 4/25 | Train Loss: 0.2607 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.1909 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.1791 | Train Acc: 97.53%
    Epoch 7/25 | Train Loss: 0.1152 | Train Acc: 98.77%
    Epoch 8/25 | Train Loss: 0.0759 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0578 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0511 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0681 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0371 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0345 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0335 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0198 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0361 | Train Acc: 98.77%
    Epoch 17/25 | Train Loss: 0.0333 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0174 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0212 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0231 | Train Acc: 98.77%
    Epoch 21/25 | Train Loss: 0.0187 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0219 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0184 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0143 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0150 | Train Acc: 100.00%
  > Split: 10% | Seed: 20 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6475 | Train Acc: 54.32%
    Epoch 2/25 | Train Loss: 0.4716 | Train Acc: 93.83%
    Epoch 3/25 | Train Loss: 0.4052 | Train Acc: 87.65%
    Epoch 4/25 | Train Loss: 0.2935 | Train Acc: 98.77%
    Epoch 5/25 | Train Loss: 0.2378 | Train Acc: 98.77%
    Epoch 6/25 | Train Loss: 0.1639 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.1192 | Train Acc: 98.77%
    Epoch 8/25 | Train Loss: 0.0903 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0591 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0523 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0472 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0326 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0400 | Train Acc: 98.77%
    Epoch 14/25 | Train Loss: 0.0502 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0516 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0291 | Train Acc: 98.77%
    Epoch 17/25 | Train Loss: 0.0290 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0259 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0201 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0208 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0146 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0213 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0137 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0122 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0146 | Train Acc: 100.00%
  > Split: 10% | Seed: 30 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6224 | Train Acc: 64.20%
    Epoch 2/25 | Train Loss: 0.4639 | Train Acc: 85.19%
    Epoch 3/25 | Train Loss: 0.3939 | Train Acc: 92.59%
    Epoch 4/25 | Train Loss: 0.2872 | Train Acc: 97.53%
    Epoch 5/25 | Train Loss: 0.1738 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.1238 | Train Acc: 98.77%
    Epoch 7/25 | Train Loss: 0.1070 | Train Acc: 98.77%
    Epoch 8/25 | Train Loss: 0.0686 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0643 | Train Acc: 98.77%
    Epoch 10/25 | Train Loss: 0.0437 | Train Acc: 98.77%
    Epoch 11/25 | Train Loss: 0.0377 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0396 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0281 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0315 | Train Acc: 98.77%
    Epoch 15/25 | Train Loss: 0.0602 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0414 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0272 | Train Acc: 98.77%
    Epoch 18/25 | Train Loss: 0.0258 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0265 | Train Acc: 98.77%
    Epoch 20/25 | Train Loss: 0.0222 | Train Acc: 98.77%
    Epoch 21/25 | Train Loss: 0.0159 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0312 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0184 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0206 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0120 | Train Acc: 100.00%
  > Split: 10% | Seed: 40 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6442 | Train Acc: 60.49%
    Epoch 2/25 | Train Loss: 0.4906 | Train Acc: 91.36%
    Epoch 3/25 | Train Loss: 0.3459 | Train Acc: 96.30%
    Epoch 4/25 | Train Loss: 0.2693 | Train Acc: 97.53%
    Epoch 5/25 | Train Loss: 0.2073 | Train Acc: 98.77%
    Epoch 6/25 | Train Loss: 0.1333 | Train Acc: 98.77%
    Epoch 7/25 | Train Loss: 0.0989 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0933 | Train Acc: 100.00%
